postcodes,town,region,latitude,longitude,uk_region,uk_region_code,country_iso_alpha2,country_iso_alpha3,country_iso_numeric
7000,Eisenstadt,Burgenland,47.8457,16.5233,,,AT,AUT,040
7000,Sankt Georgen am Leithagebirge,Burgenland,47.85,16.55,,,AT,AUT,040
7000,Kleinhöflein im Burgenland,Burgenland,47.8415,16.5041,,,AT,AUT,040
7071,Rust,Burgenland,47.8012,16.6716,,,AT,AUT,040
2443,Loretto,Burgenland,47.9156,16.5179,,,AT,AUT,040
2443,Leithaprodersdorf,Burgenland,47.9335,16.4791,,,AT,AUT,040
2443,Stotzing,Burgenland,47.9,16.55,,,AT,AUT,040
2485,Wimpassing an der Leitha,Burgenland,47.9167,16.4333,,,AT,AUT,040
2491,Steinbrunn / Štikapron,Burgenland,47.8333,16.4167,,,AT,AUT,040
2491,Neufeld an der Leitha,Burgenland,47.8656,16.3786,,,AT,AUT,040
2491,Hornstein / Vorištan,Burgenland,47.8805,16.4445,,,AT,AUT,040
7011,Siegendorf / Cindrof,Burgenland,47.781,16.5423,,,AT,AUT,040
7012,Zagersdorf / Cogrštof,Burgenland,47.7647,16.5138,,,AT,AUT,040
7013,Klingenbach / Klimpuh,Burgenland,47.7728,16.5281,,,AT,AUT,040
7033,Zillingtal / Celindof,Burgenland,47.7997,16.3994,,,AT,AUT,040
7034,Zillingtal / Celindof,Burgenland,47.7997,16.3994,,,AT,AUT,040
7035,Steinbrunn / Štikapron,Burgenland,47.8333,16.4167,,,AT,AUT,040
7035,Zillingtal / Celindof,Burgenland,47.7997,16.3994,,,AT,AUT,040
7041,Wulkaprodersdorf / Vulkaprodrštof,Burgenland,47.7975,16.5045,,,AT,AUT,040
7051,Großhöflein,Burgenland,47.8359,16.4804,,,AT,AUT,040
7052,Müllendorf,Burgenland,47.8394,16.4626,,,AT,AUT,040
7053,Hornstein / Vorištan,Burgenland,47.8805,16.4445,,,AT,AUT,040
7061,Trausdorf an der Wulka / Trajštof,Burgenland,47.8219,16.6317,,,AT,AUT,040
7062,Sankt Margarethen im Burgenland,Burgenland,47.8034,16.6088,,,AT,AUT,040
7063,Oggau am Neusiedler See,Burgenland,47.8333,16.6667,,,AT,AUT,040
7064,Oslip / Uzlop,Burgenland,47.8291,16.6196,,,AT,AUT,040
7072,Mörbisch am See,Burgenland,47.75,16.6667,,,AT,AUT,040
7081,Schützen am Gebirge,Burgenland,47.8523,16.6233,,,AT,AUT,040
7082,Donnerskirchen,Burgenland,47.8942,16.6463,,,AT,AUT,040
7083,Purbach am Neusiedler See,Burgenland,47.9129,16.6956,,,AT,AUT,040
7091,Breitenbrunn,Burgenland,47.9445,16.7315,,,AT,AUT,040
7521,Kulm im Burgenland,Burgenland,47.104,16.4524,,,AT,AUT,040
7521,Gaas,Burgenland,47.0824,16.463,,,AT,AUT,040
7521,Winten,Burgenland,47.1171,16.4445,,,AT,AUT,040
7521,Unterbildein,Burgenland,47.1284,16.4679,,,AT,AUT,040
7521,Eberau,Burgenland,47.1076,16.4604,,,AT,AUT,040
7521,Oberbildein,Burgenland,47.1333,16.4667,,,AT,AUT,040
7522,Steinfurt,Burgenland,47.0667,16.4167,,,AT,AUT,040
7522,Deutsch Ehrensdorf,Burgenland,47.0979,16.4142,,,AT,AUT,040
7522,Luising,Burgenland,47.0139,16.4794,,,AT,AUT,040
7522,Deutsch Bieling,Burgenland,47.0167,16.4333,,,AT,AUT,040
7522,Heiligenbrunn,Burgenland,47.027,16.4169,,,AT,AUT,040
7522,Sumetendorf,Burgenland,47.0445,16.3935,,,AT,AUT,040
7522,Reinersdorf,Burgenland,47.0104,16.3888,,,AT,AUT,040
7522,Kroatisch Ehrensdorf,Burgenland,47.1175,16.4024,,,AT,AUT,040
7522,Hagensdorf im Burgenland,Burgenland,47.0145,16.4554,,,AT,AUT,040
7522,Strem,Burgenland,47.045,16.4143,,,AT,AUT,040
7533,Ollersdorf im Burgenland,Burgenland,47.1833,16.1667,,,AT,AUT,040
7534,Rauchwart,Burgenland,47.1333,16.2333,,,AT,AUT,040
7534,Olbendorf,Burgenland,47.1833,16.2,,,AT,AUT,040
7535,Gamischdorf,Burgenland,47.1078,16.2591,,,AT,AUT,040
7535,Schallendorf im Burgenland,Burgenland,47.1167,16.25,,,AT,AUT,040
7535,Rauchwart,Burgenland,47.1333,16.2333,,,AT,AUT,040
7535,Sankt Michael im Burgenland,Burgenland,47.1333,16.2667,,,AT,AUT,040
7536,Güttenbach / Pinkovac,Burgenland,47.1667,16.3,,,AT,AUT,040
7537,Neuberg im Burgenland / Nova Gora,Burgenland,47.1591,16.2209,,,AT,AUT,040
7540,Sankt Nikolaus,Burgenland,47.0462,16.3323,,,AT,AUT,040
7540,Moschendorf,Burgenland,47.0584,16.4773,,,AT,AUT,040
7540,Krottendorf,Burgenland,47.0595,16.3071,,,AT,AUT,040
7540,Tschanigraben,Burgenland,47.0677,16.2921,,,AT,AUT,040
7540,Inzenhof,Burgenland,47.0167,16.3167,,,AT,AUT,040
7540,Sulz im Burgenland,Burgenland,47.0748,16.2696,,,AT,AUT,040
7540,Rehgraben,Burgenland,47.0833,16.2333,,,AT,AUT,040
7540,Neustift bei Güssing,Burgenland,47.0167,16.2667,,,AT,AUT,040
7540,Urbersdorf,Burgenland,47.0576,16.3729,,,AT,AUT,040
7540,Güssing,Burgenland,47.0594,16.3243,,,AT,AUT,040
7540,Glasing,Burgenland,47.0433,16.3575,,,AT,AUT,040
7540,Großmürbisch,Burgenland,47.0164,16.362,,,AT,AUT,040
7540,Kleinmürbisch,Burgenland,47.033,16.3245,,,AT,AUT,040
7542,Gerersdorf bei Güssing,Burgenland,47.0667,16.25,,,AT,AUT,040
7542,Sulz im Burgenland,Burgenland,47.0748,16.2696,,,AT,AUT,040
7542,Steingraben,Burgenland,47.0643,16.2743,,,AT,AUT,040
7543,Neusiedl,Burgenland,47.1,16.1833,,,AT,AUT,040
7543,Eisenhüttl,Burgenland,47.1,16.2,,,AT,AUT,040
7543,Limbach,Burgenland,47.0667,16.1667,,,AT,AUT,040
7543,Kukmirn,Burgenland,47.0754,16.2103,,,AT,AUT,040
7544,Deutsch Tschantschendorf,Burgenland,47.1,16.2833,,,AT,AUT,040
7544,Tobaj,Burgenland,47.0833,16.3,,,AT,AUT,040
7544,Hasendorf im Burgenland,Burgenland,47.0833,16.3,,,AT,AUT,040
7544,Kroatisch Tschantschendorf,Burgenland,47.0974,16.2864,,,AT,AUT,040
7544,Tudersdorf,Burgenland,47.1,16.2833,,,AT,AUT,040
7544,Punitz,Burgenland,47.1167,16.35,,,AT,AUT,040
7551,Heugraben,Burgenland,47.1167,16.1833,,,AT,AUT,040
7551,Bocksdorf,Burgenland,47.1333,16.1667,,,AT,AUT,040
7551,Stegersbach,Burgenland,47.1667,16.1667,,,AT,AUT,040
7551,Rohr im Burgenland,Burgenland,47.1167,16.1667,,,AT,AUT,040
7552,Stinatz / Stinjaki,Burgenland,47.2,16.1167,,,AT,AUT,040
8291,Burgauberg,Burgenland,47.1477,16.1235,,,AT,AUT,040
8292,Neudauberg,Burgenland,47.1717,16.1195,,,AT,AUT,040
8292,Hackerberg,Burgenland,47.2,16.1167,,,AT,AUT,040
8293,Wörterberg,Burgenland,47.2167,16.1,,,AT,AUT,040
7561,Heiligenkreuz im Lafnitztal,Burgenland,46.9892,16.2608,,,AT,AUT,040
7561,Poppendorf im Burgenland,Burgenland,46.9969,16.225,,,AT,AUT,040
7562,Eltendorf,Burgenland,47.0,16.2,,,AT,AUT,040
7562,Zahling,Burgenland,47.0333,16.2,,,AT,AUT,040
7563,Königsdorf,Burgenland,47.0,16.1667,,,AT,AUT,040
7564,Rudersdorf,Burgenland,47.05,16.1167,,,AT,AUT,040
7564,Dobersdorf,Burgenland,47.0167,16.1333,,,AT,AUT,040
7571,Rudersdorf,Burgenland,47.05,16.1167,,,AT,AUT,040
7572,Deutsch Kaltenbrunn,Burgenland,47.0879,16.1079,,,AT,AUT,040
7572,Rohrbrunn,Burgenland,47.1244,16.1151,,,AT,AUT,040
8282,Henndorf im Burgenland,Burgenland,46.982,16.1459,,,AT,AUT,040
8350,Welten,Burgenland,46.9292,16.0825,,,AT,AUT,040
8380,Jennersdorf,Burgenland,46.9385,16.1416,,,AT,AUT,040
8380,Grieselstein,Burgenland,46.9525,16.12,,,AT,AUT,040
8380,Henndorf im Burgenland,Burgenland,46.982,16.1459,,,AT,AUT,040
8380,Neumarkt an der Raab,Burgenland,46.9269,16.1667,,,AT,AUT,040
8380,Rax,Burgenland,46.9333,16.1667,,,AT,AUT,040
8382,Maria Bild,Burgenland,46.9589,16.1897,,,AT,AUT,040
8382,Mogersdorf,Burgenland,46.9492,16.2322,,,AT,AUT,040
8382,Weichselbaum,Burgenland,46.9425,16.1875,,,AT,AUT,040
8382,Deutsch Minihof,Burgenland,46.9708,16.2426,,,AT,AUT,040
8382,Rosendorf,Burgenland,46.9797,16.2103,,,AT,AUT,040
8382,Wallendorf,Burgenland,46.9719,16.2333,,,AT,AUT,040
8382,Krobotek,Burgenland,46.9715,16.1921,,,AT,AUT,040
8383,Gritsch,Burgenland,46.9244,16.1053,,,AT,AUT,040
8383,Eisenberg an der Raab,Burgenland,46.9,16.1333,,,AT,AUT,040
8383,Sankt Martin an der Raab,Burgenland,46.9225,16.1361,,,AT,AUT,040
8383,Oberdrosen,Burgenland,46.889,16.1203,,,AT,AUT,040
8383,Welten,Burgenland,46.9292,16.0825,,,AT,AUT,040
8383,Doiber,Burgenland,46.9222,16.1153,,,AT,AUT,040
8384,Bonisdorf,Burgenland,46.8444,16.0497,,,AT,AUT,040
8384,Minihof-Liebau,Burgenland,46.9173,16.1252,,,AT,AUT,040
8384,Windisch-Minihof,Burgenland,46.8908,16.0954,,,AT,AUT,040
8384,Oberdrosen,Burgenland,46.889,16.1203,,,AT,AUT,040
8384,Tauka,Burgenland,46.8647,16.0789,,,AT,AUT,040
8385,Mühlgraben,Burgenland,46.8897,16.0408,,,AT,AUT,040
8385,Krottendorf bei Neuhaus am Klausenbach,Burgenland,46.85,16.0167,,,AT,AUT,040
8385,Kalch,Burgenland,46.85,16.0167,,,AT,AUT,040
8385,Welten,Burgenland,46.9292,16.0825,,,AT,AUT,040
8385,Neuhaus am Klausenbach,Burgenland,46.8667,16.0333,,,AT,AUT,040
8385,Bonisdorf,Burgenland,46.8444,16.0497,,,AT,AUT,040
7020,Loipersbach im Burgenland,Burgenland,47.6966,16.4792,,,AT,AUT,040
7021,Draßburg / Rasporak,Burgenland,47.7465,16.4868,,,AT,AUT,040
7021,Baumgarten / Pajngrt,Burgenland,47.7389,16.5006,,,AT,AUT,040
7022,Schattendorf,Burgenland,47.7097,16.5098,,,AT,AUT,040
7023,Stöttera,Burgenland,47.7679,16.4611,,,AT,AUT,040
7023,Zemendorf,Burgenland,47.7628,16.4511,,,AT,AUT,040
7023,Pöttelsdorf,Burgenland,47.7537,16.4386,,,AT,AUT,040
7024,Hirm,Burgenland,47.7865,16.4546,,,AT,AUT,040
7031,Krensdorf,Burgenland,47.7855,16.4149,,,AT,AUT,040
7032,Sigleß,Burgenland,47.7753,16.395,,,AT,AUT,040
7033,Pöttsching,Burgenland,47.8045,16.3711,,,AT,AUT,040
7042,Antau / Otava,Burgenland,47.7738,16.4798,,,AT,AUT,040
7201,Neudörfl,Burgenland,47.7966,16.2977,,,AT,AUT,040
7202,Wiesen,Burgenland,47.7378,16.338,,,AT,AUT,040
7202,Pöttsching,Burgenland,47.8045,16.3711,,,AT,AUT,040
7202,Bad Sauerbrunn,Burgenland,47.7744,16.3284,,,AT,AUT,040
7203,Wiesen,Burgenland,47.7378,16.338,,,AT,AUT,040
7210,Walbersdorf,Burgenland,47.7333,16.4,,,AT,AUT,040
7210,Mattersburg,Burgenland,47.7333,16.4,,,AT,AUT,040
7212,Forchtenstein,Burgenland,47.7116,16.3453,,,AT,AUT,040
7221,Marz,Burgenland,47.7167,16.4167,,,AT,AUT,040
7222,Rohrbach bei Mattersburg,Burgenland,47.7052,16.4301,,,AT,AUT,040
7223,Sieggraben,Burgenland,47.6513,16.3799,,,AT,AUT,040
2413,Edelstal,Burgenland,48.1,16.9833,,,AT,AUT,040
2421,Kittsee,Burgenland,48.0925,17.0639,,,AT,AUT,040
2422,Pama / Bijelo Selo,Burgenland,48.05,17.0333,,,AT,AUT,040
2423,Deutsch Jahrndorf,Burgenland,48.0167,17.1,,,AT,AUT,040
2424,Zurndorf,Burgenland,47.9831,17.0031,,,AT,AUT,040
2425,Nickelsdorf,Burgenland,47.9406,17.0694,,,AT,AUT,040
2460,Bruckneudorf,Burgenland,48.0167,16.7833,,,AT,AUT,040
2462,Kaisersteinbruch,Burgenland,47.9881,16.7029,,,AT,AUT,040
2462,Königshof,Burgenland,48.0339,16.7207,,,AT,AUT,040
2471,Parndorf / Pandrof,Burgenland,47.9996,16.8605,,,AT,AUT,040
2473,Potzneusiedl,Burgenland,48.045,16.9477,,,AT,AUT,040
2474,Gattendorf,Burgenland,48.0167,16.9833,,,AT,AUT,040
2475,Neudorf / Novo Selo,Burgenland,48.0167,16.9333,,,AT,AUT,040
7092,Winden am See,Burgenland,47.95,16.75,,,AT,AUT,040
7093,Jois,Burgenland,47.9617,16.796,,,AT,AUT,040
7100,Weiden am See,Burgenland,47.9253,16.869,,,AT,AUT,040
7100,Neusiedl am See,Burgenland,47.949,16.8417,,,AT,AUT,040
7111,Parndorf / Pandrof,Burgenland,47.9996,16.8605,,,AT,AUT,040
7121,Weiden am See,Burgenland,47.9253,16.869,,,AT,AUT,040
7122,Gols,Burgenland,47.8969,16.9111,,,AT,AUT,040
7123,Mönchhof,Burgenland,47.8802,16.9413,,,AT,AUT,040
7131,Halbturn,Burgenland,47.8702,16.9754,,,AT,AUT,040
7132,Frauenkirchen,Burgenland,47.8368,16.9258,,,AT,AUT,040
7132,Apetlon,Burgenland,47.7439,16.8302,,,AT,AUT,040
7141,Podersdorf am See,Burgenland,47.8541,16.8371,,,AT,AUT,040
7142,Illmitz,Burgenland,47.7615,16.8002,,,AT,AUT,040
7143,Apetlon,Burgenland,47.7439,16.8302,,,AT,AUT,040
7151,Wallern im Burgenland,Burgenland,47.7285,16.9371,,,AT,AUT,040
7152,Pamhagen,Burgenland,47.7009,16.9078,,,AT,AUT,040
7152,Wallern im Burgenland,Burgenland,47.7285,16.9371,,,AT,AUT,040
7161,Apetlon,Burgenland,47.7439,16.8302,,,AT,AUT,040
7161,Sankt Andrä am Zicksee,Burgenland,47.7841,16.9419,,,AT,AUT,040
7162,Tadten,Burgenland,47.7667,16.9833,,,AT,AUT,040
7163,Andau,Burgenland,47.7744,17.0329,,,AT,AUT,040
2812,Landsee,Burgenland,47.5583,16.3314,,,AT,AUT,040
7301,Deutschkreutz,Burgenland,47.6,16.6333,,,AT,AUT,040
7301,Girm,Burgenland,47.6,16.6067,,,AT,AUT,040
7302,Kroatisch Minihof / Mjenovo,Burgenland,47.5255,16.6445,,,AT,AUT,040
7302,Nikitsch / Filež,Burgenland,47.5362,16.6602,,,AT,AUT,040
7304,Großwarasdorf / Veliki Borištof,Burgenland,47.5391,16.553,,,AT,AUT,040
7304,Nebersdorf / Šuševo,Burgenland,47.5129,16.5705,,,AT,AUT,040
7304,Mitterpullendorf,Burgenland,47.4933,16.5213,,,AT,AUT,040
7304,Kleinwarasdorf / Mali Borištof,Burgenland,47.5374,16.589,,,AT,AUT,040
7304,Langental / Longitolj,Burgenland,47.5036,16.5436,,,AT,AUT,040
7311,Neckenmarkt,Burgenland,47.5996,16.5467,,,AT,AUT,040
7311,Haschendorf,Burgenland,47.5979,16.5729,,,AT,AUT,040
7312,Unterpetersdorf,Burgenland,47.5905,16.582,,,AT,AUT,040
7312,Horitschon,Burgenland,47.5873,16.547,,,AT,AUT,040
7321,Unterfrauenhaid,Burgenland,47.5712,16.4988,,,AT,AUT,040
7321,Raiding,Burgenland,47.5658,16.5306,,,AT,AUT,040
7321,Lackendorf,Burgenland,47.59,16.504,,,AT,AUT,040
7322,Lackenbach,Burgenland,47.5904,16.4653,,,AT,AUT,040
7323,Ritzing,Burgenland,47.6132,16.4955,,,AT,AUT,040
7331,Tschurndorf,Burgenland,47.6077,16.4057,,,AT,AUT,040
7331,Kalkgruben,Burgenland,47.6211,16.3961,,,AT,AUT,040
7331,Weppersdorf,Burgenland,47.5795,16.4268,,,AT,AUT,040
7332,Oberpetersdorf,Burgenland,47.6155,16.3765,,,AT,AUT,040
7332,Kobersdorf,Burgenland,47.5957,16.3917,,,AT,AUT,040
7341,Neudorf bei Landsee,Burgenland,47.5625,16.3798,,,AT,AUT,040
7341,Markt Sankt Martin,Burgenland,47.562,16.4251,,,AT,AUT,040
7341,Landsee,Burgenland,47.5583,16.3314,,,AT,AUT,040
7341,Lindgraben,Burgenland,47.5748,16.3989,,,AT,AUT,040
7342,Kaisersdorf / Kalištrof,Burgenland,47.5374,16.392,,,AT,AUT,040
7343,Neutal,Burgenland,47.5455,16.4462,,,AT,AUT,040
7344,Stoob,Burgenland,47.5284,16.4776,,,AT,AUT,040
7350,Mitterpullendorf,Burgenland,47.4933,16.5213,,,AT,AUT,040
7350,Oberpullendorf / Felsöpulya,Burgenland,47.5108,16.4994,,,AT,AUT,040
7350,Stoob,Burgenland,47.5284,16.4776,,,AT,AUT,040
7361,Frankenau / Frakanava,Burgenland,47.45,16.6,,,AT,AUT,040
7361,Kroatisch Geresdorf / Gerištof,Burgenland,47.4914,16.6102,,,AT,AUT,040
7361,Strebersdorf,Burgenland,47.4578,16.6191,,,AT,AUT,040
7361,Lutzmannsburg,Burgenland,47.4637,16.6366,,,AT,AUT,040
7371,Oberrabnitz,Burgenland,47.4929,16.3544,,,AT,AUT,040
7371,Schwendgraben,Burgenland,47.4709,16.3557,,,AT,AUT,040
7371,Unterrabnitz,Burgenland,47.4539,16.3768,,,AT,AUT,040
7372,Draßmarkt,Burgenland,47.5167,16.4,,,AT,AUT,040
7372,Karl,Burgenland,47.5089,16.3464,,,AT,AUT,040
7373,Piringsdorf,Burgenland,47.4483,16.4152,,,AT,AUT,040
7374,Weingraben / Bajngrob,Burgenland,47.5139,16.3637,,,AT,AUT,040
7441,Salmannsdorf,Burgenland,47.4167,16.3333,,,AT,AUT,040
7441,Pilgersdorf,Burgenland,47.4411,16.3492,,,AT,AUT,040
7441,Lebenbrunn,Burgenland,47.4627,16.3023,,,AT,AUT,040
7441,Steinbach im Burgenland,Burgenland,47.475,16.3166,,,AT,AUT,040
7441,Bubendorf im Burgenland,Burgenland,47.4274,16.3466,,,AT,AUT,040
7441,Kogl im Burgenland,Burgenland,47.4453,16.2987,,,AT,AUT,040
7441,Deutsch Gerisdorf,Burgenland,47.4167,16.3667,,,AT,AUT,040
7442,Hammerteich,Burgenland,47.4087,16.4437,,,AT,AUT,040
7442,Langeck im Burgenland,Burgenland,47.4,16.3667,,,AT,AUT,040
7442,Hochstraß,Burgenland,47.4287,16.4047,,,AT,AUT,040
7442,Lockenhaus,Burgenland,47.4075,16.4162,,,AT,AUT,040
7442,Glashütten bei Langeck im Burgenland,Burgenland,47.3757,16.3833,,,AT,AUT,040
7443,Rattersdorf,Burgenland,47.4078,16.498,,,AT,AUT,040
7443,Liebing,Burgenland,47.4136,16.4945,,,AT,AUT,040
7444,Mannersdorf an der Rabnitz,Burgenland,47.4281,16.5268,,,AT,AUT,040
7444,Unterloisdorf,Burgenland,47.4367,16.5328,,,AT,AUT,040
7444,Klostermarienberg,Burgenland,47.4219,16.5627,,,AT,AUT,040
7451,Oberloisdorf,Burgenland,47.4474,16.5076,,,AT,AUT,040
7452,Kleinmutschen / Pervane,Burgenland,47.463,16.5747,,,AT,AUT,040
7452,Großmutschen / Mucindrof,Burgenland,47.4667,16.5833,,,AT,AUT,040
7452,Unterpullendorf / Dolnja Pulja,Burgenland,47.4753,16.5402,,,AT,AUT,040
