postcodes,town,latitude,longitude,region,country_iso,uk_region
1000,Lausanne,46.567488,6.6809642,VD,ch,
1001,Lausanne,46.2435256,7.3820734,VD,ch,
1002,Lausanne,46.5218203,6.6326647,VD,ch,
1003,Lausanne,46.5207933,6.6314894,VD,ch,
1004,Lausanne,46.5300393,6.6179495,VD,ch,
1005,Lausanne,46.5201391,6.6427496,VD,ch,
1006,Lausanne,46.5096537,6.6360259,VD,ch,
1007,Lausanne,46.516054,6.608998,VD,ch,
1008,Prilly,46.544574,6.605012,VD,ch,
1008,Jouxtens-Mézery,46.55043,6.59874,VD,ch,
1008,Prilly,46.5346449,6.6052401,VD,ch,
1009,Pully,46.513112,6.6596571,VD,ch,
1010,Lausanne,46.53327,6.647725,VD,ch,
1011,Lausanne,46.5256281,6.6418895,VD,ch,
1012,Lausanne,46.5277489,6.6573705,VD,ch,
1014,Lausanne Adm cant VD,46.5205021,6.626834,VD,ch,
1015,Lausanne,46.556672,6.6833783,VD,ch,
1017,Lausanne Charles Veillon SA,46.8383824,6.9731603,VD,ch,
1018,Lausanne,46.5341574,6.6303209,VD,ch,
1019,Lausanne Services spéciaux,46.8383824,6.9731603,VD,ch,
1020,Renens VD,46.53381,6.59137,VD,ch,
1020,Renens VD 1,46.539118,6.582501,VD,ch,
1020,Renens VD 2,46.536955,6.5909451,VD,ch,
1022,Chavannes-près-Renens,46.5278669,6.5718239,VD,ch,
1023,Crissier,46.5518687,6.5743458,VD,ch,
1023,Crissier 1,46.5503564,6.5780278,VD,ch,
1024,Ecublens VD,46.5285135,6.5605744,VD,ch,
1024,Ecublens VD,46.5238969,6.5534096,VD,ch,
1025,St-Sulpice VD,46.5127661,6.56122,VD,ch,
1026,Denges,46.5248345,6.5414283,VD,ch,
1026,Echandens,46.5352022,6.5418995,VD,ch,
1026,Echandens-Denges,46.5371222,6.5369124,VD,ch,
1027,Lonay,46.5266468,6.5205487,VD,ch,
1028,Préverenges,46.5170831,6.5280452,VD,ch,
1029,Villars-Ste-Croix,46.5679792,6.561225,VD,ch,
1030,Bussigny,46.5517429,6.558615,VD,ch,
1031,Mex VD,46.577693,6.5525569,VD,ch,
1032,Romanel-sur-Lausanne,46.5630648,6.603945,VD,ch,
1032,Romanel-sur-Lausanne,46.5738509,6.6166543,VD,ch,
1033,Cheseaux-sur-Lausanne,46.585452,6.6047712,VD,ch,
1033,Cheseaux-sur-Lausanne,46.577108,6.6086563,VD,ch,
1034,Boussens,46.6027375,6.5838525,VD,ch,
1035,Bournens,46.6041957,6.5636887,VD,ch,
1036,Sullens,46.5935962,6.5660091,VD,ch,
1037,Etagnières,46.5998975,6.6129185,VD,ch,
1038,Bercher,46.6920622,6.708587,VD,ch,
1039,Cheseaux Polyval,46.2299333,6.9532768,VD,ch,
1040,Echallens,46.6410996,6.6344508,VD,ch,
1040,St-Barthélemy VD,46.6368795,6.602289,VD,ch,
1040,Villars-le-Terroir,46.65755,6.6390489,VD,ch,
1041,Bottens,46.6169495,6.6603021,VD,ch,
1041,Dommartin,46.6350262,6.6853649,VD,ch,
1041,Dommartin,46.6496,6.70218,VD,ch,
1041,Montaubion-Chardonney,46.6480636,6.7146856,VD,ch,
1041,Naz,46.6581296,6.6957236,VD,ch,
1041,Poliez-le-Grand,46.63767,6.66287,VD,ch,
1041,Poliez-Pittet,46.6274641,6.6819435,VD,ch,
1042,Assens,46.6132945,6.6226762,VD,ch,
1042,Bettens,46.6279889,6.5773317,VD,ch,
1042,Bioley-Orjulaz,46.6212,6.59814,VD,ch,
1043,Sugnens,46.6552,6.67183,VD,ch,
1044,Fey,46.67606,6.68168,VD,ch,
1045,Ogens,46.7104182,6.7234914,VD,ch,
1046,Rueyres,46.6937019,6.6926562,VD,ch,
1047,Oppens,46.7139815,6.691683,VD,ch,
1052,Le Mont-sur-Lausanne,46.5533123,6.6339915,VD,ch,
1053,Bretigny-sur-Morrens,46.5980923,6.641246,VD,ch,
1053,Cugy VD,46.5851396,6.6402929,VD,ch,
1053,Cugy VD,46.5902631,6.6646499,VD,ch,
1054,Morrens VD,46.5910697,6.6256805,VD,ch,
1055,Froideville,46.601503,6.6822073,VD,ch,
1058,Villars-Tiercelin,46.6256905,6.70336,VD,ch,
1059,Peney-le-Jorat,46.6321479,6.728431,VD,ch,
1061,Villars-Mendraz,46.647426,6.7292355,VD,ch,
1062,Sottens,46.6553889,6.7421726,VD,ch,
1063,Boulens,46.6800404,6.7195938,VD,ch,
1063,Chapelle-sur-Moudon,46.6689929,6.7346379,VD,ch,
1063,Martherenges,46.66107,6.75322,VD,ch,
1063,Peyres-Possens,46.6633472,6.7067892,VD,ch,
1063,Peyres-Possens,46.6632987,6.7069838,VD,ch,
1066,Epalinges,46.5488573,6.674199,VD,ch,
