postcodes,town,state,state_code,province,latitude,longitude,country_iso_alpha2,country_iso_alpha3,country_iso_numeric
67100,L'Aquila,Abruzzi,AB,L'Aquila,42.3507,13.3999,IT,ITA,380
66100,Tricalle,Abruzzi,AB,Chieti,42.3549,14.1693,IT,ITA,380
65100,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65121,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65122,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65123,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65124,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65125,Pescara Colli,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65126,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65127,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65128,Pescara,Abruzzi,AB,Pescara,42.4667,14.2167,IT,ITA,380
65129,Pineta Di Pescara,Abruzzi,AB,Pescara,42.45,14.2333,IT,ITA,380
65131,Fontanelle,Abruzzi,AB,Pescara,42.6167,13.9167,IT,ITA,380
65132,San Silvestro,Abruzzi,AB,Pescara,42.55,14.1,IT,ITA,380
64100,Teramo,Abruzzi,AB,Teramo,42.6613,13.6985,IT,ITA,380
75100,La Martella,Basilicata,BC,Matera,40.6609,16.5377,IT,ITA,380
85100,Potenza,Basilicata,BC,Potenza,40.6372,15.8022,IT,ITA,380
87100,Casali,Calabria,CI,Cosenza,39.3,16.25,IT,ITA,380
88100,Catanzaro,Calabria,CI,Catanzaro,38.91,16.5877,IT,ITA,380
89100,Reggio Calabria,Calabria,CI,Reggio Di Calabria,38.1,15.65,IT,ITA,380
89121,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89122,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89123,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89124,Eremo,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89125,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89126,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89127,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89128,Spirito Santo,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89129,Regcal,Calabria,CI,Reggio Di Calabria,38.5333,16.5167,IT,ITA,380
89131,Regcal,Calabria,CI,Reggio Di Calabria,38.1,15.65,IT,ITA,380
89132,Regcal,Calabria,CI,Reggio Di Calabria,38.1,15.65,IT,ITA,380
89133,San Giorgio Extra,Calabria,CI,Reggio Di Calabria,38.1,15.65,IT,ITA,380
89134,Croce Valanidi,Calabria,CI,Reggio Di Calabria,38.0547,15.6786,IT,ITA,380
89135,Diminniti,Calabria,CI,Reggio Di Calabria,38.1735,15.6971,IT,ITA,380
83100,Avellino,Campania,CM,Avellino,40.9152,14.7955,IT,ITA,380
82100,Perrillo,Campania,CM,Benevento,41.1333,14.75,IT,ITA,380
81100,Staturano,Campania,CM,Caserta,41.0917,14.3563,IT,ITA,380
80100,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80121,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80122,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80123,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80124,Bagnoli,Campania,CM,Napoli,40.8167,14.1667,IT,ITA,380
80125,Agnano,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80126,Soccavo,Campania,CM,Napoli,40.8477,14.1912,IT,ITA,380
80127,Vomero,Campania,CM,Napoli,40.8333,14.2333,IT,ITA,380
80128,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80129,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80131,Cappella Cangiani,Campania,CM,Napoli,40.8417,14.25,IT,ITA,380
80132,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80133,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80134,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80135,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80136,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80137,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80138,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80139,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80141,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80142,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80143,Napoli,Campania,CM,Napoli,40.8333,14.25,IT,ITA,380
80144,San Pietro A Patierno,Campania,CM,Napoli,40.8667,14.2583,IT,ITA,380
80145,Marianella,Campania,CM,Napoli,40.8667,14.2417,IT,ITA,380
80146,San Giovanni A Teduccio,Campania,CM,Napoli,40.8333,14.3167,IT,ITA,380
80147,Barra,Campania,CM,Napoli,40.8387,14.3248,IT,ITA,380
84100,Salerno,Campania,CM,Salerno,40.6833,14.7833,IT,ITA,380
84121,Salerno,Campania,CM,Salerno,40.678,14.7659,IT,ITA,380
84122,Salerno,Campania,CM,Salerno,40.6833,14.7833,IT,ITA,380
84123,Salerno,Campania,CM,Salerno,40.6833,14.7833,IT,ITA,380
